epoch,train_loss,val_loss,train_acc,val_acc
0,0.743046135519232,0.2949254098272479,0.7326530612244898,0.8876221498371335
1,0.3280524608310388,0.3045859671279739,0.8726530612244898,0.8648208469055375
2,0.3189065231109152,0.30000145612011514,0.8742857142857143,0.8778501628664495
3,0.2923702419777306,0.24570570480842932,0.8824489795918368,0.9153094462540716
4,0.28686798358450133,0.24252914518409133,0.8926530612244898,0.9071661237785016
5,0.22705484622595262,0.2080220384978316,0.9093877551020408,0.9267100977198697
6,0.2638178974876598,0.2379161876107563,0.8979591836734694,0.9136807817589576
7,0.1658320297148763,0.21477970206679273,0.9383673469387755,0.9267100977198697
8,0.161848692042487,0.21597937977469317,0.9395918367346939,0.9218241042345277
9,0.15990620389276622,0.21398320954280878,0.9363265306122449,0.9267100977198697
