epoch,train_loss,val_loss,train_acc,val_acc
0,0.6116572121211461,0.38031658520527695,0.7461224489795918,0.8371335504885994
1,0.3464577021890757,0.27264101808156566,0.8706122448979592,0.8990228013029316
2,0.2830990305482125,0.26301884641476486,0.8963265306122449,0.8973941368078175
3,0.28776293101359385,0.22681291212088123,0.8820408163265306,0.9201954397394136
4,0.2598499260508284,0.27447462615827006,0.8987755102040816,0.8908794788273615
5,0.24984773935103902,0.2169129000036258,0.9081632653061225,0.9185667752442996
6,0.2259950529312601,0.2326512780368134,0.9142857142857143,0.9169381107491856
7,0.20044245319707052,0.2098576927418041,0.9240816326530612,0.9250814332247557
8,0.1869409230168985,0.21046094135275104,0.9293877551020409,0.9185667752442996
9,0.19003978094276117,0.20930007876713036,0.926530612244898,0.9332247557003257
