epoch,train_loss,val_loss,train_acc,val_acc
0,0.7243737324889825,0.5094744932476784,0.7306122448979592,0.8029315960912052
1,0.5099125185304758,0.3006915776756765,0.8220408163265306,0.8843648208469055
2,0.3739781647312398,0.30475692319947656,0.8612244897959184,0.8925081433224755
3,0.28631829076883747,0.4996540325084028,0.8934693877551021,0.8241042345276873
4,0.36772141427409893,0.27319610060620386,0.8583673469387755,0.8876221498371335
5,0.38098448276519775,0.2735255936263827,0.8648979591836735,0.8876221498371335
6,0.40230831657745403,0.3519192432638877,0.8673469387755102,0.8876221498371335
7,0.23161495552987468,0.24201113480698402,0.9110204081632653,0.9136807817589576
8,0.2167996589991511,0.238191786922927,0.916734693877551,0.9120521172638436
9,0.20552988689772936,0.2340616883788901,0.9163265306122449,0.9153094462540716
